MODEL,DESCRIPTOR,MEDIA,DETACHMENT MEDIA,ATTACHMENT,SPECIFIC NOTES,DIAGNOSIS/REPLASE,PHASE,PRIOR TREATMENT(S),SOURCE OF CULTURE,1p,3p,11q,17q,ALK STATUS,MYCN STATUS,P53 STATUS,1:2,1:3 ,1:4 ,1:5,1:6,1:7,1:8,1:9,1:10,1:20,NOTES,RACK LOCATION:,LOCATION: BOX,LOCATION: ROW,LOCATION: POSITION,PASSAGE #,FREEZE DATE,INITIALS,LINEAGE,MYCO DATE,STR DATE,STR RESULT,AMELOGENIN (ALLELE 1),AMELOGENIN (ALLELE 2),D3S1358 (ALLELE 1),D3S1358 (ALLELE 2),,D1S1656 (ALLELE 1),D1S1656 (ALLELE 2),,D2S441 (ALLELE 1),D2S441 (ALLELE 2),D10S1248 (ALLELE 1),D10S1248 (ALLELE 2),,D13S317 (ALLELE 1),D13S317 (ALLELE 2),D13S317 (ALLELE 2),PENTA E (ALLELE 1),PENTA E (ALLELE 2),PENTA E (ALLELE 3),D16S539 (ALLELE 1),D16S539 (ALLELE 2),D18S51 (ALLELE 1),D18S51 (ALLELE 2),,D2S1338 (ALLELE 1),D2S1338 (ALLELE 2),D2S1338 (ALLELE 3),CSF1PO (ALLELE 1),CSF1PO (ALLELE 2),,PENTA D (ALLELE 1),PENTA D (ALLELE 2),PENTA D (ALLELE 3),TH01 (ALLELE 1),TH01 (ALLELE 2),vWA (ALLELE 1),vWA (ALLELE 2),vWA (ALLELE 3),D21S11 (ALLELE 1),D21S11 (ALLELE 2),,D7S820 (ALLELE 1),D7S820 (ALLELE 2),D5S818 (ALLELE 1),D5S818 (ALLELE 2),TPOX (ALLELE 1),TPOX (ALLELE 2),,DYS391 (ALLELE 1),D8S1179 (ALLELE 1),D8S1179 (ALLELE 2),D8S1179 (ALLELE 3),D12S391 (ALLELE 1),D12S391 (ALLELE 2),,D19S433 (ALLELE 1),D19S433 (ALLELE 2),,FGA (ALLELE 1),FGA (ALLELE 2),,D22S1045 (ALLELE 1),D22S1045 (ALLELE 2),,,Lab 
COG-N-623,Cell Bank,"IMDM Media, 20%FBS, 2 mM L-glutamine, 1% Pen/Strep, 1X ITS",,,,,,,,,,,,,,,,,,,,,,,,,,7,2,4,7,8,03/13/2019,KU,"new batch from CCCR, P6 JN 08/331/2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
COG-N-623,Cell Bank,"IMDM Media, 20%FBS, 2 mM L-glutamine, 1% Pen/Strep, 1X ITS",,,,,,,,,,,,,,,,,,,,,,,,,,7,2,4,8,8,03/13/2019,KU,"new batch from CCCR, P6 JN 08/331/2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,5,1,4,01/22/2015,LSH,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,5,2,6,02/19/2020,KU,"From KLC, p4, 3/01/17",02/04/2020,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,5,4,6,02/19/2020,KU,"From KLC, P4, 03/01/2017",02/04/2020,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,5,5,6,02/19/2020,KU,"From KLC, P4, 03/01/2017",02/04/2020,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,5,6,4,03/01/2017,KLC,,12/16/2014,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,5,7,4,03/01/2017,KLC,,12/16/2014,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,5,8,4,03/01/2017,KLC,,12/16/2014,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,5,9,4,08/11/2017,KLC,"from LSH, p3, 03/09/2015",07/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,5,10,6,02/19/2020,KU,"From KLC, P4, 03/01/2017",02/04/2020,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,6,8,6,02/19/2020,KU,"From KLC, P4, 03/01/2017",02/04/2020,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,6,9,6,02/19/2020,KU,"From KLC, P4, 03/01/2017",02/04/2020,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
NB-1691,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Relapse,Progressing,Unknown,Unknown,None,Loss p26.1,LOH q11-qter; Loss q22.1-q24.3,None,WT,Amplified,WT,6,10,NA,NA,NA,NA,20,NA,NA,NA,,7,2,6,10,6,02/19/2020,KU,"From KLC, P4, 03/01/2017",02/04/2020,3/3/20,Good (Drop out of Y at Amelogenin),X,Y (DO),16,,,16,17.3,,10,,13,14,,8,12,,15,,,9,12,16,21,,17,,,10,14,,13,,,9,,19,,,31.2,,,11,,12,,8,,,-,13,15,,20,,,14,16,,21,22,,16,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,1,4,10/28/2016,LSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,2,4,07/26/2014,LSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,3,8,02/12/2020,KU,"From KLC, P6, 11/04/2016",02/04/2020,03/03/2020,Good (Y Drop out at Amelogenin),X,Y (DO),16,17,,12,17.3,,11,11.3,14,15,,8,,,10,13,,9,11,15,16,,17,23,,11,12,,7,12,,8,,17,18,,30.2,31.2,,10,,11,12,8,11,,-,14,15,,19,23,,14,15,,21,25,,16,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,4,6,11/04/2016,KLC,"From LSH, p4, 7/26/2014",,03/03/2020,Good (Y Drop out at Amelogenin),X,Y (DO),16,17,,12,17.3,,11,11.3,14,15,,8,,,10,13,,9,11,15,16,,17,23,,11,12,,7,12,,8,,17,18,,30.2,31.2,,10,,11,12,8,11,,-,14,15,,19,23,,14,15,,21,25,,16,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,5,8,02/12/2020,KU,"From KLC, P6, 11/04/2016",02/04/2020,03/03/2020,Good (Y Drop out at Amelogenin),X,Y (DO),16,17,,12,17.3,,11,11.3,14,15,,8,,,10,13,,9,11,15,16,,17,23,,11,12,,7,12,,8,,17,18,,30.2,31.2,,10,,11,12,8,11,,-,14,15,,19,23,,14,15,,21,25,,16,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,6,8,02/12/2020,KU,"From KLC, P6, 11/04/2016",02/04/2020,03/03/2020,Good (Y Drop out at Amelogenin),X,Y (DO),16,17,,12,17.3,,11,11.3,14,15,,8,,,10,13,,9,11,15,16,,17,23,,11,12,,7,12,,8,,17,18,,30.2,31.2,,10,,11,12,8,11,,-,14,15,,19,23,,14,15,,21,25,,16,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,7,2,11/15/2016,JLH,,07/11/2017,08/22/2018,Good (Y Drop out at Amelogenin),X,Y (DO),16,17,,12,17.3,,11,11.3,14,15,,8,,,10,13,,9,11,15,16,,17,23,,11,12,,7,12,,8,,17,18,,30.2,31.2,,10,,11,12,8,11,,,14,15,,19,23,,14,15,,21,25,,,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,8,2,11/15/2016,JLH,,07/11/2017,08/22/2018,Good (Y Drop out at Amelogenin),X,Y (DO),16,17,,12,17.3,,11,11.3,14,15,,8,,,10,13,,9,11,15,16,,17,23,,11,12,,7,12,,8,,17,18,,30.2,31.2,,10,,11,12,8,11,,,14,15,,19,23,,14,15,,21,25,,,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,9,2,11/15/2016,JLH,,07/11/2017,08/22/2018,Good (Y Drop out at Amelogenin),X,Y (DO),16,17,,12,17.3,,11,11.3,14,15,,8,,,10,13,,9,11,15,16,,17,23,,11,12,,7,12,,8,,17,18,,30.2,31.2,,10,,11,12,8,11,,,14,15,,19,23,,14,15,,21,25,,,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,7,10,8,02/12/2020,KU,"From KLC, P6, 11/04/2016",02/04/2020,03/03/2020,Good (Y Drop out at Amelogenin),X,Y (DO),16,17,,12,17.3,,11,11.3,14,15,,8,,,10,13,,9,11,15,16,,17,23,,11,12,,7,12,,8,,17,18,,30.2,31.2,,10,,11,12,8,11,,-,14,15,,19,23,,14,15,,21,25,,16,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-69,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,,Diagnosis,Diagnosis,No prior treatments,Unknown,Loss p13.3-pterm,None,"cnLOH q23.1, q23.3",Gain q12-qterm,WT,Non-amplified,WT,NA,NA,NA,5-6,NA,NA,NA,NA,7-8,12,,7,2,8,10,8,02/12/2020,KU,"From KLC, P6, 11/04/2016",02/04/2020,03/03/2020,Good (Y Drop out at Amelogenin),X,Y (DO),16,17,,12,17.3,,11,11.3,14,15,,8,,,10,13,,9,11,15,16,,17,23,,11,12,,7,12,,8,,17,18,,30.2,31.2,,10,,11,12,8,11,,-,14,15,,19,23,,14,15,,21,25,,16,,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-EBC1,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,"If EBC1 becomes overly confluent, their morphology will change from round and cloud like, to smaller with thorn like spikes. Morphology will return to normal after 2-3 passages. Experiments should not be done if the cells are in the stressed morphology. 
",Relapse,Progressing,Unknown,Solid Tumor,Loss p35.2-pterm,Gain p26.1-pter,Loss q21-24.2,Gain q21.31-qterm,WT,Non-amplified,WT,NA,3,4-5,NA,NA,NA,NA,NA,NA,NA,,7,2,9,2,6,06/16/2017,KLC,,06/09/2017,08/22/2018,Good,X,Y,17,,,15,17.3,,11.3,14,14,,,11,12,,11,,,12,,15,20,,19,20,,12,,,9,,,6,9.3,17,19,,27,32.2,,12,14,10,12,8,,,11,11,13,,18.3,,,14,15,,24,25,,14,15,,,Maris
NB-EBC1,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,"If EBC1 becomes overly confluent, their morphology will change from round and cloud like, to smaller with thorn like spikes. Morphology will return to normal after 2-3 passages. Experiments should not be done if the cells are in the stressed morphology. 
",Relapse,Progressing,Unknown,Solid Tumor,Loss p35.2-pterm,Gain p26.1-pter,Loss q21-24.2,Gain q21.31-qterm,WT,Non-amplified,WT,NA,3,4-5,NA,NA,NA,NA,NA,NA,NA,,7,2,9,3,6,06/16/2017,KLC,,06/09/2017,08/22/2018,Good,X,Y,17,,,15,17.3,,11.3,14,14,,,11,12,,11,,,12,,15,20,,19,20,,12,,,9,,,6,9.3,17,19,,27,32.2,,12,14,10,12,8,,,11,11,13,,18.3,,,14,15,,24,25,,14,15,,,Maris
NB-EBC1,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,"If EBC1 becomes overly confluent, their morphology will change from round and cloud like, to smaller with thorn like spikes. Morphology will return to normal after 2-3 passages. Experiments should not be done if the cells are in the stressed morphology. 
",Relapse,Progressing,Unknown,Solid Tumor,Loss p35.2-pterm,Gain p26.1-pter,Loss q21-24.2,Gain q21.31-qterm,WT,Non-amplified,WT,NA,3,4-5,NA,NA,NA,NA,NA,NA,NA,,7,2,9,4,6,06/16/2017,KLC,,06/09/2017,08/22/2018,Good,X,Y,17,,,15,17.3,,11.3,14,14,,,11,12,,11,,,12,,15,20,,19,20,,12,,,9,,,6,9.3,17,19,,27,32.2,,12,14,10,12,8,,,11,11,13,,18.3,,,14,15,,24,25,,14,15,,,Maris
NB-EBC1,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,"If EBC1 becomes overly confluent, their morphology will change from round and cloud like, to smaller with thorn like spikes. Morphology will return to normal after 2-3 passages. Experiments should not be done if the cells are in the stressed morphology. 
",Relapse,Progressing,Unknown,Solid Tumor,Loss p35.2-pterm,Gain p26.1-pter,Loss q21-24.2,Gain q21.31-qterm,WT,Non-amplified,WT,NA,3,4-5,NA,NA,NA,NA,NA,NA,NA,,7,2,9,5,6,06/16/2017,KLC,,06/09/2017,08/22/2018,Good,X,Y,17,,,15,17.3,,11.3,14,14,,,11,12,,11,,,12,,15,20,,19,20,,12,,,9,,,6,9.3,17,19,,27,32.2,,12,14,10,12,8,,,11,11,13,,18.3,,,14,15,,24,25,,14,15,,,Maris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maris
NB-EBC1,Cell Bank,"RPMI 1640 w/ 10 % FBS; 1 % of Pen/Strep, 2mM L-Glutamine",0.02% Versene,Adherent,"If EBC1 becomes overly confluent, their morphology will change from round and cloud like, to smaller with thorn like spikes. Morphology will return to normal after 2-3 passages. Experiments should not be done if the cells are in the stressed morphology. 
",Relapse,Progressing,Unknown,Solid Tumor,Loss p35.2-pterm,Gain p26.1-pter,Loss q21-24.2,Gain q21.31-qterm,WT,Non-amplified,WT,NA,3,4-5,NA,NA,NA,NA,NA,NA,NA,,7,2,9,7,9,07/05/2019,KU,From P6 KLC 06/20/2017 (STR from thaw is good),07/02/2019,03/03/2020,Good,X,Y,17,,,15,17.3,,11.3,14,14,,,11,12,,11,,,12,,15,20,,19,20,,12,,,9,,,6,9.3,17,19,,27,32.2,,12,14,10,12,8,,,11,11,13,,18.3,,,14,15,,24,25,,14,15,,,Maris
